,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
82,PRE-SALE ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.021150033046926635,0.48314606741573035,0.020489094514210177,0.96875,2.0050872093023253,0.010270539221874837,16.539325842696627
94,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.25776602775941837,0.48314606741573035,0.24256444150693984,0.941025641025641,1.9477042337507453,0.11802579888160288,8.764044943820222
30,ORDER RELATED ENQUIRY_ACCESSORIES_WARRANTY RELATED ENQUIRY,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.11103767349636484,0.48314606741573035,0.1037673496364838,0.9345238095238094,1.9342469545957914,0.05011993435172326,7.893769152196105
84,PRE-SALE ENQUIRY_ACCESSORIES_MRP ENQUIRY,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.026437541308658295,0.48314606741573035,0.024454725710508923,0.9249999999999999,1.91453488372093,0.011681531595089745,6.891385767790255
118,PRE-SALE ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,0.021150033046926635,0.25776602775941837,0.019167217448777262,0.90625,3.5157852564102563,0.013715457443290556,7.917162370566204
132,TECHNICAL TROUBLESHOOTING_ACCESSORIES_UNABLE TO UNPAIR THE BAND,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,0.02511566424322538,0.25776602775941837,0.02247191011235955,0.8947368421052632,3.4711201079622134,0.015997945105844086,7.051222736285526
108,TECHNICAL TROUBLESHOOTING_ACCESSORIES_UNABLE TO UNPAIR THE BAND,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.02511566424322538,0.48314606741573035,0.021810971579643092,0.8684210526315789,1.7974296205630353,0.009676437169994875,3.9280898876404464
123,TECHNICAL COMPLAINT_POCO_DELAY IN REPAIR BY SERVICE CENTER,TECHNICAL COMPLAINT_FOLLOW UP_FOLLOW UP ON COMPLAINT,0.013879709187045605,0.05750165234633179,0.011896893588896233,0.8571428571428571,14.9064039408867,0.011098787376554549,6.597488433575675
88,PRE-SALE ENQUIRY_POCO_CHANNEL PARTNERS SALE INFO,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.013218770654329148,0.48314606741573035,0.011235955056179775,0.85,1.7593023255813953,0.004849357998470186,3.44569288389513
136,TECHNICAL TROUBLESHOOTING_MI ROUTER_FACTORY RESET INQUIRY,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,0.021150033046926635,0.25776602775941837,0.01784534038334435,0.8437500000000001,3.273317307692308,0.012393580377857644,4.750297422339726
75,TECHNICAL COMPLAINT_POCO_DELAY IN REPAIR BY SERVICE CENTER,ORDER RELATED ENQUIRY_POCO_REPAIR ENQUIRY,0.013879709187045605,0.046265697290152015,0.011235955056179775,0.8095238095238094,17.497278911564624,0.01059380063245658,5.007105089226699
78,OTHERS_UNSUPPORTED_LAUNCH ENQUIRY,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.01982815598149372,0.48314606741573035,0.015862524785194978,0.8000000000000002,1.6558139534883725,0.006282629198630596,2.58426966292135
102,TECHNICAL ENQUIRY_POCO_SERVICE CENTER AVAILABILITY,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.016523463317911435,0.48314606741573035,0.013218770654329148,0.7999999999999999,1.655813953488372,0.005235524332192161,2.584269662921347
76,OTHERS_BLANK/INCOMPL ETE_CUSTOMER DISCONNECTED,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.02511566424322538,0.48314606741573035,0.01982815598149372,0.7894736842105262,1.6340269277845774,0.007693621571845503,2.4550561797752795
98,TECHNICAL ENQUIRY_MI TV & MI BOX_HOW TO RESET THE TV,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.02775941837409121,0.48314606741573035,0.021810971579643092,0.7857142857142857,1.6262458471760797,0.008399117758452956,2.4119850187265914
90,PRE-SALE FEEDBACK_POCO_DISSATISFIED ABOUT OUT OF STOCK,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.014540647719762063,0.48314606741573035,0.011235955056179775,0.7727272727272727,1.5993657505285412,0.004210698292699227,2.274157303370786
126,TECHNICAL ENQUIRY_MI TV & MI BOX_HOW TO RESET THE TV,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,0.02775941837409121,0.25776602775941837,0.021150033046926635,0.7619047619047619,2.9557997557997555,0.013994598039725331,3.117382683410442
112,TECHNICAL TROUBLESHOOTING_MI ROUTER_FACTORY RESET INQUIRY,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.021150033046926635,0.48314606741573035,0.015862524785194978,0.7500000000000001,1.552325581395349,0.005643969492859637,2.0674157303370793
35,ORDER RELATED ENQUIRY_ACCESSORIES_WARRANTY RELATED ENQUIRY,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,0.11103767349636484,0.25776602775941837,0.08327825512227363,0.75,2.9096153846153845,0.054656515093468416,2.9689358889623265
